Model,Type,Accuracy,Precision,Recall,F1 Score
Soft Voting,Ensemble,0.9839794139619822,0.9840937302140311,0.9839794139619822,0.9839935991140456
RoBERTa,Individual,0.979662986635677,0.9796588629102106,0.979662986635677,0.9796578886216798
Hard Voting,Ensemble,0.976425666140948,0.9764199994349428,0.976425666140948,0.976420610136704
BERT,Individual,0.9763426579231343,0.9764593868561223,0.9763426579231343,0.9763625958705716
DistilBERT,Individual,0.9729393209927782,0.9729470240112958,0.9729393209927782,0.9729424899238359
LSTM,Individual,0.9516062090146925,0.9515817993818313,0.9516062090146925,0.9515858168139604
Gradient Boosting,Individual,0.950942143272184,0.9510595037212388,0.950942143272184,0.9509760751385736
Logistic Regression,Individual,0.9466257159458786,0.9465951842773203,0.9466257159458786,0.9465992733196846
Random Forest,Individual,0.9451315680252345,0.9451285754150913,0.9451315680252345,0.9450621643632913
Naive Bayes,Individual,0.8436955258570599,0.8446290983282035,0.8436955258570599,0.8439830839297607
